ticker,sector,esg_mean,esg_letter,esg_z_mean,ev_bn,idio_vol_ann,beta,revenue_growth_pct,ebitda_margin_pct,capex_intensity_pct,cost_of_equity_pct
SIM001,Industrials,34.3,BBB,-0.095,134.64,17.87,1.009,10.79,9.39,5.64,8.12
SIM002,Information Technology,41.2,A,0.517,227.69,21.24,0.954,10.83,17.27,5.5,8.5
SIM003,Industrials,35.7,BBB,0.024,232.88,15.48,0.998,6.36,9.06,5.51,7.79
SIM004,Information Technology,60.5,AAA,2.215,90.69,26.31,0.801,4.88,11.74,6.89,8.99
SIM005,Financial Services,36.8,BBB,0.128,51.12,20.35,0.988,11.3,16.14,5.98,8.43
SIM006,Industrials,47.8,AA,1.12,132.11,18.16,0.899,9.95,17.03,6.11,8.02
SIM007,Energy,14.1,CCC,-1.858,48.15,26.31,1.167,7.66,11.66,2.69,9.47
SIM008,Industrials,42.2,A,0.624,52.66,21.42,0.944,3.3,17.21,6.27,8.52
SIM009,Industrials,50.3,AAA,1.317,72.65,21.94,0.882,6.51,14.1,5.96,8.5
SIM010,Industrials,23.1,B,-1.06,19.97,18.99,1.095,6.93,5.66,5.24,8.39
SIM011,Information Technology,42.3,A,0.638,193.36,19.68,0.943,5.93,15.19,4.78,8.28
SIM012,Information Technology,43.5,AA,0.73,34.14,23.93,0.934,1.88,13.13,5.5,8.84
SIM013,Consumer Discretionary,35.1,BBB,0.013,51.02,21.73,0.999,6.36,11.61,4.95,8.63
SIM014,Financial Services,45.0,AA,0.849,213.56,17.63,0.924,11.81,21.57,6.92,7.98
SIM015,Consumer Staples,43.8,AA,0.748,18.03,21.03,0.933,4.62,19.01,4.67,8.45
SIM016,Industrials,27.3,B,-0.718,33.44,22.26,1.065,3.17,12.04,4.25,8.79
SIM017,Utilities,43.1,A,0.708,31.3,20.97,0.936,1.48,11.67,5.97,8.45
SIM018,Information Technology,39.7,A,0.399,37.52,23.06,0.964,4.28,15.15,4.54,8.76
SIM019,Health Care,15.5,CCC,-1.75,72.43,20.99,1.158,2.65,12.95,5.64,8.74
SIM020,Consumer Staples,36.3,BBB,0.092,83.81,19.13,0.992,6.18,14.63,5.23,8.27
SIM021,Information Technology,53.0,AAA,1.574,36.3,28.97,0.858,6.27,11.64,7.96,9.42
SIM022,Financial Services,33.4,BBB,-0.174,8.86,21.99,1.016,5.97,7.66,5.14,8.69
SIM023,Industrials,24.7,B,-0.93,103.22,19.09,1.084,2.93,8.71,5.39,8.39
SIM024,Consumer Discretionary,39.7,A,0.388,15.11,19.62,0.965,-3.94,18.25,5.23,8.3
SIM025,Utilities,38.6,A,0.309,426.04,17.17,0.972,10.34,8.91,4.12,7.98
SIM026,Information Technology,46.2,AA,0.973,44.75,25.21,0.912,-0.51,10.17,6.39,8.99
SIM027,Consumer Discretionary,46.6,AA,1.014,76.63,26.08,0.909,6.63,10.12,5.87,9.1
SIM028,Consumer Staples,43.0,A,0.695,201.45,15.45,0.937,3.56,12.61,6.55,7.7
SIM029,Utilities,42.4,A,0.615,121.86,21.74,0.945,7.32,11.43,5.49,8.56
SIM030,Utilities,42.0,A,0.603,264.33,14.95,0.946,6.72,19.72,4.51,7.65
SIM031,Information Technology,42.7,A,0.627,83.4,21.8,0.944,11.26,15.1,4.5,8.57
SIM032,Utilities,41.2,A,0.518,56.19,13.18,0.953,8.75,13.68,5.39,7.42
