date,year,month,ticker,sector,esg_score,esg_persistent,esg_z,esg_q_z,esg_change_12m,esg_momentum_z,esg_reported_change_12m,ret_m,idio_vol_ann,realised_vol_ann,beta,ev_bn,esg_letter
2016-01-31,2016,1,SIM001,Industrials,37.52,38.28,0.3198,0.4021,0.0,0.0,0.0,-3.4183,19.1,,0.964,134.64,A
2016-01-31,2016,1,SIM002,Information Technology,47.44,44.97,1.2203,1.0135,0.0,0.0,0.0,-5.874,18.15,,0.909,227.69,AA
2016-01-31,2016,1,SIM003,Industrials,32.73,32.2,-0.1154,-0.1539,0.0,0.0,0.0,-3.2294,19.02,,1.014,232.88,BBB
2016-01-31,2016,1,SIM004,Information Technology,50.7,51.7,1.5167,1.6294,0.0,0.0,0.0,-4.3248,22.16,,0.853,90.69,AAA
2016-01-31,2016,1,SIM005,Financial Services,34.89,33.99,0.0804,0.0098,0.0,0.0,0.0,-9.4406,20.58,,0.999,51.12,BBB
2016-01-31,2016,1,SIM006,Industrials,62.5,64.0,2.5886,2.7541,0.0,0.0,0.0,-1.7617,7.45,,0.752,132.11,AAA
2016-01-31,2016,1,SIM007,Energy,8.52,7.29,-2.3146,-2.4313,0.0,0.0,0.0,-13.3177,30.58,,1.219,48.15,CCC
2016-01-31,2016,1,SIM008,Industrials,38.43,36.13,0.4025,0.2061,0.0,0.0,0.0,-1.8863,20.3,,0.981,52.66,A
2016-01-31,2016,1,SIM009,Industrials,43.49,45.09,0.8619,1.0248,0.0,0.0,0.0,-5.1862,18.09,,0.908,72.65,AA
2016-01-31,2016,1,SIM010,Industrials,21.68,21.93,-1.1197,-1.0928,0.0,0.0,0.0,-9.4197,20.4,,1.098,19.97,B
2016-01-31,2016,1,SIM011,Information Technology,39.49,42.69,0.4981,0.8059,0.0,0.0,0.0,-3.8239,11.65,,0.927,193.36,A
2016-01-31,2016,1,SIM012,Information Technology,42.83,45.11,0.8021,1.027,0.0,0.0,0.0,-3.6977,29.05,,0.908,34.14,AA
2016-01-31,2016,1,SIM013,Consumer Discretionary,34.09,35.55,0.0081,0.1528,0.0,0.0,0.0,-2.1493,14.12,,0.986,51.02,BBB
2016-01-31,2016,1,SIM014,Financial Services,42.3,39.22,0.7539,0.4882,0.0,0.0,0.0,-0.2054,21.73,,0.956,213.56,AA
2016-01-31,2016,1,SIM015,Consumer Staples,41.99,41.77,0.7254,0.7215,0.0,0.0,0.0,-7.2699,19.59,,0.935,18.03,AA
2016-01-31,2016,1,SIM016,Industrials,46.93,46.92,1.1742,1.1919,0.0,0.0,0.0,-2.8912,16.29,,0.893,33.44,AA
2016-01-31,2016,1,SIM017,Utilities,27.88,26.86,-0.5561,-0.6413,0.0,0.0,0.0,-5.9035,25.87,,1.058,31.3,BB
2016-01-31,2016,1,SIM018,Information Technology,34.86,34.36,0.0778,0.0442,0.0,0.0,0.0,-8.5146,23.16,,0.996,37.52,BBB
2016-01-31,2016,1,SIM019,Health Care,6.18,9.96,-2.5274,-2.1864,0.0,0.0,0.0,-2.8208,27.69,,1.197,72.43,CCC
2016-01-31,2016,1,SIM020,Consumer Staples,38.3,39.87,0.3903,0.5476,0.0,0.0,0.0,-18.61,23.56,,0.951,83.81,A
2016-01-31,2016,1,SIM021,Information Technology,39.53,39.99,0.5025,0.5584,0.0,0.0,0.0,-11.7117,27.66,,0.95,36.3,A
2016-01-31,2016,1,SIM022,Financial Services,38.67,36.84,0.424,0.2707,0.0,0.0,0.0,-2.8317,24.16,,0.976,8.86,A
2016-01-31,2016,1,SIM023,Industrials,33.87,32.84,-0.012,-0.0953,0.0,0.0,0.0,-1.3654,18.15,,1.009,103.22,BBB
